,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"1832 West Collins Avenue,  Orange, CA  92867-5425    Tel:714-639-1000    Fax:714-639-1220",,,,,
http://www.ussensor.com,,,mailto:sales@ussensor.com,,
,,,,,
,,,,,
AC103J2F (RESISTANCE VS. TEMPERATURE TABLE),,,,,
,,,,,
,,,,,
,,,,,
Temp,Temp,,Resistance Ratio,TC (%/°C),Resistance
(°C),(°F),,Rt/R@+25°C,,Ω
,,,,,
-40,-40.0,,33.647900,-6.66,"336,479.00"
-39,-38.2,,31.490400,-6.61,"314,904.00"
-38,-36.4,,29.484800,-6.56,"294,848.00"
-37,-34.6,,27.619400,-6.52,"276,194.00"
-36,-32.8,,25.883800,-6.47,"258,838.00"
-35,-31.0,,24.268100,-6.43,"242,681.00"
-34,-29.2,,22.763200,-6.39,"227,632.00"
-33,-27.4,,21.361000,-6.34,"213,610.00"
-32,-25.6,,20.053900,-6.30,"200,539.00"
-31,-23.8,,18.834900,-6.26,"188,349.00"
-30,-22.0,,17.697400,-6.21,"176,974.00"
-29,-20.2,,16.635600,-6.17,"166,356.00"
-28,-18.4,,15.644100,-6.13,"156,441.00"
-27,-16.6,,14.717700,-6.09,"147,177.00"
-26,-14.8,,13.851800,-6.05,"138,518.00"
-25,-13.0,,13.042100,-6.01,"130,421.00"
-24,-11.2,,12.284700,-5.97,"122,847.00"
-23,-9.4,,11.575900,-5.93,"115,759.00"
-22,-7.6,,10.912200,-5.89,"109,122.00"
-21,-5.8,,10.290600,-5.85,"102,906.00"
-20,-4.0,,9.708100,-5.81,"97,081.00"
-19,-2.2,,9.162100,-5.77,"91,621.00"
-18,-0.4,,8.650100,-5.74,"86,501.00"
-17,1.4,,8.169800,-5.70,"81,698.00"
-16,3.2,,7.719000,-5.66,"77,190.00"
-15,5.0,,7.295700,-5.63,"72,957.00"
-14,6.8,,6.898200,-5.59,"68,982.00"
-13,8.6,,6.524600,-5.55,"65,246.00"
-12,10.4,,6.173600,-5.52,"61,736.00"
-11,12.2,,5.843400,-5.48,"58,434.00"
-10,14.0,,5.532900,-5.45,"55,329.00"
-9,15.8,,5.240700,-5.41,"52,407.00"
-8,17.6,,4.965600,-5.38,"49,656.00"
-7,19.4,,4.706600,-5.34,"47,066.00"
-6,21.2,,4.462600,-5.31,"44,626.00"
-5,23.0,,4.232700,-5.28,"42,327.00"
-4,24.8,,4.015900,-5.24,"40,159.00"
-3,26.6,,3.811500,-5.21,"38,115.00"
-2,28.4,,3.618700,-5.18,"36,187.00"
-1,30.2,,3.436800,-5.15,"34,368.00"
0,32.0,,3.265000,-5.11,"32,650.00"
1,33.8,,3.102900,-5.08,"31,029.00"
2,35.6,,2.949800,-5.05,"29,498.00"
3,37.4,,2.805200,-5.01,"28,052.00"
4,39.2,,2.668500,-4.98,"26,685.00"
5,41.0,,2.539200,-4.95,"25,392.00"
6,42.8,,2.417000,-4.92,"24,170.00"
7,44.6,,2.301300,-4.89,"23,013.00"
8,46.4,,2.191800,-4.86,"21,918.00"
9,48.2,,2.088200,-4.83,"20,882.00"
10,50.0,,1.990100,-4.80,"19,901.00"
